Country,Canopy Threshold %,Driver,Year,Tree Loss ha
Indonesia,30,Hard commodities,2001,9527
Indonesia,30,Hard commodities,2002,12482
Indonesia,30,Hard commodities,2003,10791
Indonesia,30,Hard commodities,2004,20936
Indonesia,30,Hard commodities,2005,19726
Indonesia,30,Hard commodities,2006,21398
Indonesia,30,Hard commodities,2007,25771
Indonesia,30,Hard commodities,2008,23628
Indonesia,30,Hard commodities,2009,41016
Indonesia,30,Hard commodities,2010,23684
Indonesia,30,Hard commodities,2011,38340
Indonesia,30,Hard commodities,2012,60455
Indonesia,30,Hard commodities,2013,24943
Indonesia,30,Hard commodities,2014,41299
Indonesia,30,Hard commodities,2015,35198
Indonesia,30,Hard commodities,2016,45075
Indonesia,30,Hard commodities,2017,29010
Indonesia,30,Hard commodities,2018,36320
Indonesia,30,Hard commodities,2019,34271
Indonesia,30,Hard commodities,2020,26702
Indonesia,30,Hard commodities,2021,27257
Indonesia,30,Hard commodities,2022,28879
Indonesia,30,Hard commodities,2023,47455
Indonesia,30,Hard commodities,2024,31986
Indonesia,30,Logging,2001,97144
Indonesia,30,Logging,2002,112056
Indonesia,30,Logging,2003,63909
Indonesia,30,Logging,2004,180231
Indonesia,30,Logging,2005,147528
Indonesia,30,Logging,2006,143411
Indonesia,30,Logging,2007,179590
Indonesia,30,Logging,2008,179611
Indonesia,30,Logging,2009,157667
Indonesia,30,Logging,2010,184423
Indonesia,30,Logging,2011,199412
Indonesia,30,Logging,2012,224653
Indonesia,30,Logging,2013,114873
Indonesia,30,Logging,2014,166016
Indonesia,30,Logging,2015,157002
Indonesia,30,Logging,2016,178093
Indonesia,30,Logging,2017,126113
Indonesia,30,Logging,2018,129413
Indonesia,30,Logging,2019,132639
Indonesia,30,Logging,2020,101618
Indonesia,30,Logging,2021,80322
Indonesia,30,Logging,2022,81960
Indonesia,30,Logging,2023,96124
Indonesia,30,Logging,2024,95533
Indonesia,30,Other natural disturbances,2001,6508
Indonesia,30,Other natural disturbances,2002,10503
Indonesia,30,Other natural disturbances,2003,7034
Indonesia,30,Other natural disturbances,2004,9662
Indonesia,30,Other natural disturbances,2005,7098
Indonesia,30,Other natural disturbances,2006,8858
Indonesia,30,Other natural disturbances,2007,9689
Indonesia,30,Other natural disturbances,2008,6236
Indonesia,30,Other natural disturbances,2009,15508
Indonesia,30,Other natural disturbances,2010,8310
Indonesia,30,Other natural disturbances,2011,9979
Indonesia,30,Other natural disturbances,2012,16682
Indonesia,30,Other natural disturbances,2013,5605
Indonesia,30,Other natural disturbances,2014,14789
Indonesia,30,Other natural disturbances,2015,18780
Indonesia,30,Other natural disturbances,2016,25365
Indonesia,30,Other natural disturbances,2017,14872
Indonesia,30,Other natural disturbances,2018,13175
Indonesia,30,Other natural disturbances,2019,14349
Indonesia,30,Other natural disturbances,2020,9595
Indonesia,30,Other natural disturbances,2021,9183
Indonesia,30,Other natural disturbances,2022,9561
Indonesia,30,Other natural disturbances,2023,10132
Indonesia,30,Other natural disturbances,2024,9762
Indonesia,30,Permanent agriculture,2001,556142
Indonesia,30,Permanent agriculture,2002,603239
Indonesia,30,Permanent agriculture,2003,334843
Indonesia,30,Permanent agriculture,2004,960149
Indonesia,30,Permanent agriculture,2005,902556
Indonesia,30,Permanent agriculture,2006,1142890
Indonesia,30,Permanent agriculture,2007,976105
Indonesia,30,Permanent agriculture,2008,1100036
Indonesia,30,Permanent agriculture,2009,1581538
Indonesia,30,Permanent agriculture,2010,979392
Indonesia,30,Permanent agriculture,2011,1201726
Indonesia,30,Permanent agriculture,2012,1790526
Indonesia,30,Permanent agriculture,2013,900467
Indonesia,30,Permanent agriculture,2014,1410073
Indonesia,30,Permanent agriculture,2015,1127747
