Country,Province,Canopy Threshold %,Tree Cover Extent 2000 ha,AGB Carbon Stocks 2000 MgC,AGB Carbon Density 2000 MgC ha,Avg Annual Gross Emissions MgCO2e yr,Avg Annual Removals MgCO2 yr,Avg Annual Net Flux MgCO2e yr,Gross Emissions 0012 MgCO2e,Gross Emissions 0022 MgCO2e,Gross Emissions 0032 MgCO2e,Gross Emissions 0042 MgCO2e,Gross Emissions 0052 MgCO2e,Gross Emissions 0062 MgCO2e,Gross Emissions 0072 MgCO2e,Gross Emissions 0082 MgCO2e,Gross Emissions 0092 MgCO2e,Gross Emissions 0102 MgCO2e,Gross Emissions 0112 MgCO2e,Gross Emissions 0122 MgCO2e,Gross Emissions 0132 MgCO2e,Gross Emissions 0142 MgCO2e,Gross Emissions 0152 MgCO2e,Gross Emissions 0162 MgCO2e,Gross Emissions 0172 MgCO2e,Gross Emissions 0182 MgCO2e,Gross Emissions 0192 MgCO2e,Gross Emissions 0202 MgCO2e,Gross Emissions 0212 MgCO2e,Gross Emissions 0222 MgCO2e,Gross Emissions 0232 MgCO2e,Gross Emissions 0242 MgCO2e
Indonesia,Aceh,30,4984708,653101544,544,22138237,13571223,8567015,10781164,6627106,8026562,11548791,17345183,13845766,15217238,24828757,44802236,25634918,31277948,31813634,24213932,36641364,20419815,29597570,26984846,27851704,17771125,18601460,18974147,16989501,23348363,28174569
Indonesia,Bali,30,365485,39151857,491,215607,2388648,-2173040,260325,190618,117400,219024,148261,321987,315182,146969,232894,125464,133383,452548,204263,508923,76643,96433,155514,161045,429538,109182,124862,168103,365681,110329
Indonesia,Bangka Belitung,30,1332845,106312312,283,15221676,7397481,7824198,7005063,5562797,3487235,11477498,10079529,10751927,12008264,11226378,33402713,12361376,16964282,21360184,9630177,22150159,22577478,36821355,12950327,10287578,10721349,12029032,15885973,16706101,24505926,15367547
Indonesia,Banten,30,561723,56287349,513,1321451,3632176,-2310725,618476,1042788,164982,827685,311460,1089522,605411,562003,1701980,983311,1374312,2150205,1100213,1390639,1638703,1155343,2099270,2117123,2857726,1271610,1181129,929614,2388259,2153062
Indonesia,Bengkulu,30,1795200,231746921,499,13933685,7408354,6525332,10135589,7523117,5800440,18343674,9223426,15951261,12489087,15627311,13382843,11253547,18100728,20702595,9464223,13959398,14343184,16964333,18982493,17413860,12357843,11420715,9891659,16676254,19303155,15097704
Indonesia,Gorontalo,30,1002909,147238658,427,4214159,2480151,1734009,2403487,5583349,2069612,4742109,3057098,3664754,2950708,1193144,7295806,1039060,2003805,2873117,4891935,7987904,9449726,7375405,5219093,5422524,7232751,2153085,1505559,1956899,5633273,3435632
Indonesia,Jakarta Raya,30,1302,51609,90,309,15445,-15137,1002,20,121,673,161,1459,829,120,38,694,900,265,128,0,59,0,459,0,0,45,0,0,156,282
Indonesia,Jambi,30,4484184,491042919,608,62800090,24845610,37954481,33838923,36485693,17595846,90868809,62426580,84511396,94719368,104494916,99153690,27040260,35827156,122705274,52585003,56982242,42872357,131627877,58454834,45538792,44214471,57069177,44299867,48864898,58454785,56569960
Indonesia,Jawa Barat,30,2007190,204189664,478,2558059,11283435,-8725374,4752443,2561723,1392664,2210110,1520971,3236778,2036807,3418058,1854062,1743773,3470377,2473770,1580772,2327948,2140101,2315385,3383042,2715136,4233448,2169096,1703903,1686067,3631441,2835573
Indonesia,Jawa Tengah,30,1507023,142044543,465,1673986,9813968,-8139983,1753753,1146233,507158,2141078,1074668,1997626,1796311,1627621,1914603,850285,2763974,1588832,711461,1790802,1129334,1485007,2256994,1684139,1812596,1834118,1505050,1509667,3306770,1987555
Indonesia,Jawa Timur,30,1917062,183977497,457,2846645,10470900,-7624253,2915024,2711740,1995621,4270837,1811581,3692763,2910073,2601074,2717952,1081261,3645667,5387081,1615593,4112966,1737717,1944186,2834936,2689623,3137536,3048079,2336854,1968694,4275821,2876830
Indonesia,Kalimantan Barat,30,13640399,1591533944,592,123736412,56663216,67073196,49626490,62610050,37665223,77175968,74990269,93620771,100123271,138402392,220589594,116036000,213023846,249209663,163462613,221269455,202053308,183511593,110336586,97466586,91605889,77365801,68307384,84718166,126852812,109650190
Indonesia,Kalimantan Selatan,30,2818008,271165431,410,24211333,17645648,6565685,10601060,13862311,10740653,25669861,14717806,31049828,17430865,10785556,37200432,16355863,29823913,46971865,23862418,44435366,52781490,42633774,22647185,22164632,26275063,12814017,12667305,9559874,29899991,16120868
Indonesia,Kalimantan Tengah,30,14220881,1698947244,535,124896244,50244990,74651254,42220392,74151771,147052676,115601806,109855751,148088017,291244104,142000086,145533154,107073467,100394491,161281420,75334314,145179410,172198968,479684517,69126749,76187310,86475205,60914533,33362598,46339431,91559754,76649894
