Country,Province,Canopy Threshold %,Driver,Year,Tree Loss ha
Indonesia,Aceh,30,Hard commodities,2001,70
Indonesia,Aceh,30,Logging,2001,1409
Indonesia,Aceh,30,Other natural disturbances,2001,123
Indonesia,Aceh,30,Permanent agriculture,2001,14263
Indonesia,Aceh,30,Settlements & Infrastructure,2001,53
Indonesia,Aceh,30,Shifting cultivation,2001,2237
Indonesia,Aceh,30,Wildfire,2001,51
Indonesia,Aceh,30,Hard commodities,2002,38
Indonesia,Aceh,30,Logging,2002,894
Indonesia,Aceh,30,Other natural disturbances,2002,88
Indonesia,Aceh,30,Permanent agriculture,2002,8283
Indonesia,Aceh,30,Settlements & Infrastructure,2002,25
Indonesia,Aceh,30,Shifting cultivation,2002,1535
Indonesia,Aceh,30,Wildfire,2002,33
Indonesia,Aceh,30,Hard commodities,2003,18
Indonesia,Aceh,30,Logging,2003,3203
Indonesia,Aceh,30,Other natural disturbances,2003,133
Indonesia,Aceh,30,Permanent agriculture,2003,7459
Indonesia,Aceh,30,Settlements & Infrastructure,2003,33
Indonesia,Aceh,30,Shifting cultivation,2003,897
Indonesia,Aceh,30,Wildfire,2003,16
Indonesia,Aceh,30,Hard commodities,2004,18
Indonesia,Aceh,30,Logging,2004,476
Indonesia,Aceh,30,Other natural disturbances,2004,196
Indonesia,Aceh,30,Permanent agriculture,2004,16955
Indonesia,Aceh,30,Settlements & Infrastructure,2004,229
Indonesia,Aceh,30,Shifting cultivation,2004,1160
Indonesia,Aceh,30,Wildfire,2004,17
Indonesia,Aceh,30,Hard commodities,2005,11
Indonesia,Aceh,30,Logging,2005,563
Indonesia,Aceh,30,Other natural disturbances,2005,387
Indonesia,Aceh,30,Permanent agriculture,2005,24076
Indonesia,Aceh,30,Settlements & Infrastructure,2005,233
Indonesia,Aceh,30,Shifting cultivation,2005,1082
Indonesia,Aceh,30,Wildfire,2005,37
Indonesia,Aceh,30,Hard commodities,2006,49
Indonesia,Aceh,30,Logging,2006,415
Indonesia,Aceh,30,Other natural disturbances,2006,286
Indonesia,Aceh,30,Permanent agriculture,2006,18720
Indonesia,Aceh,30,Settlements & Infrastructure,2006,108
Indonesia,Aceh,30,Shifting cultivation,2006,1578
Indonesia,Aceh,30,Wildfire,2006,68
Indonesia,Aceh,30,Hard commodities,2007,64
Indonesia,Aceh,30,Logging,2007,923
Indonesia,Aceh,30,Other natural disturbances,2007,967
Indonesia,Aceh,30,Permanent agriculture,2007,19475
Indonesia,Aceh,30,Settlements & Infrastructure,2007,92
Indonesia,Aceh,30,Shifting cultivation,2007,2534
Indonesia,Aceh,30,Wildfire,2007,27
Indonesia,Aceh,30,Hard commodities,2008,112
Indonesia,Aceh,30,Logging,2008,1079
Indonesia,Aceh,30,Other natural disturbances,2008,159
Indonesia,Aceh,30,Permanent agriculture,2008,33300
Indonesia,Aceh,30,Settlements & Infrastructure,2008,71
Indonesia,Aceh,30,Shifting cultivation,2008,1857
Indonesia,Aceh,30,Wildfire,2008,119
Indonesia,Aceh,30,Hard commodities,2009,108
Indonesia,Aceh,30,Logging,2009,1649
Indonesia,Aceh,30,Other natural disturbances,2009,415
Indonesia,Aceh,30,Permanent agriculture,2009,62489
Indonesia,Aceh,30,Settlements & Infrastructure,2009,224
Indonesia,Aceh,30,Shifting cultivation,2009,3858
Indonesia,Aceh,30,Wildfire,2009,248
Indonesia,Aceh,30,Hard commodities,2010,41
Indonesia,Aceh,30,Logging,2010,548
Indonesia,Aceh,30,Other natural disturbances,2010,191
Indonesia,Aceh,30,Permanent agriculture,2010,37152
Indonesia,Aceh,30,Settlements & Infrastructure,2010,78
Indonesia,Aceh,30,Shifting cultivation,2010,2623
Indonesia,Aceh,30,Wildfire,2010,63
Indonesia,Aceh,30,Hard commodities,2011,142
Indonesia,Aceh,30,Logging,2011,639
Indonesia,Aceh,30,Other natural disturbances,2011,174
Indonesia,Aceh,30,Permanent agriculture,2011,43827
Indonesia,Aceh,30,Settlements & Infrastructure,2011,126
Indonesia,Aceh,30,Shifting cultivation,2011,2088
Indonesia,Aceh,30,Wildfire,2011,397
Indonesia,Aceh,30,Hard commodities,2012,126
Indonesia,Aceh,30,Logging,2012,543
Indonesia,Aceh,30,Other natural disturbances,2012,176
Indonesia,Aceh,30,Permanent agriculture,2012,45702
Indonesia,Aceh,30,Settlements & Infrastructure,2012,80
Indonesia,Aceh,30,Shifting cultivation,2012,2054
Indonesia,Aceh,30,Wildfire,2012,585
Indonesia,Aceh,30,Hard commodities,2013,136
Indonesia,Aceh,30,Logging,2013,910
Indonesia,Aceh,30,Other natural disturbances,2013,189
Indonesia,Aceh,30,Permanent agriculture,2013,37247
Indonesia,Aceh,30,Settlements & Infrastructure,2013,25
Indonesia,Aceh,30,Shifting cultivation,2013,2078
Indonesia,Aceh,30,Wildfire,2013,732
Indonesia,Aceh,30,Hard commodities,2014,189
Indonesia,Aceh,30,Logging,2014,1267
Indonesia,Aceh,30,Other natural disturbances,2014,415
Indonesia,Aceh,30,Permanent agriculture,2014,51581
Indonesia,Aceh,30,Settlements & Infrastructure,2014,87
Indonesia,Aceh,30,Shifting cultivation,2014,3852
Indonesia,Aceh,30,Wildfire,2014,1045
Indonesia,Aceh,30,Hard commodities,2015,83
Indonesia,Aceh,30,Logging,2015,1116
Indonesia,Aceh,30,Other natural disturbances,2015,595
Indonesia,Aceh,30,Permanent agriculture,2015,29126
Indonesia,Aceh,30,Settlements & Infrastructure,2015,42
Indonesia,Aceh,30,Shifting cultivation,2015,2783
Indonesia,Aceh,30,Wildfire,2015,129
Indonesia,Aceh,30,Hard commodities,2016,184
Indonesia,Aceh,30,Logging,2016,1390
Indonesia,Aceh,30,Other natural disturbances,2016,798
Indonesia,Aceh,30,Permanent agriculture,2016,42264
Indonesia,Aceh,30,Settlements & Infrastructure,2016,99
Indonesia,Aceh,30,Shifting cultivation,2016,5109
Indonesia,Aceh,30,Wildfire,2016,92
Indonesia,Aceh,30,Hard commodities,2017,685
Indonesia,Aceh,30,Logging,2017,1033
Indonesia,Aceh,30,Other natural disturbances,2017,1306
Indonesia,Aceh,30,Permanent agriculture,2017,37616
Indonesia,Aceh,30,Settlements & Infrastructure,2017,128
Indonesia,Aceh,30,Shifting cultivation,2017,4594
Indonesia,Aceh,30,Wildfire,2017,251
Indonesia,Aceh,30,Hard commodities,2018,310
Indonesia,Aceh,30,Logging,2018,1644
Indonesia,Aceh,30,Other natural disturbances,2018,459
Indonesia,Aceh,30,Permanent agriculture,2018,38455
Indonesia,Aceh,30,Settlements & Infrastructure,2018,107
Indonesia,Aceh,30,Shifting cultivation,2018,4784
Indonesia,Aceh,30,Wildfire,2018,302
Indonesia,Aceh,30,Hard commodities,2019,481
Indonesia,Aceh,30,Logging,2019,1153
Indonesia,Aceh,30,Other natural disturbances,2019,263
Indonesia,Aceh,30,Permanent agriculture,2019,22809
Indonesia,Aceh,30,Settlements & Infrastructure,2019,127
Indonesia,Aceh,30,Shifting cultivation,2019,3663
Indonesia,Aceh,30,Wildfire,2019,22
Indonesia,Aceh,30,Hard commodities,2020,391
Indonesia,Aceh,30,Logging,2020,1201
Indonesia,Aceh,30,Other natural disturbances,2020,322
Indonesia,Aceh,30,Permanent agriculture,2020,24592
Indonesia,Aceh,30,Settlements & Infrastructure,2020,91
Indonesia,Aceh,30,Shifting cultivation,2020,3550
Indonesia,Aceh,30,Wildfire,2020,28
Indonesia,Aceh,30,Hard commodities,2021,897
Indonesia,Aceh,30,Logging,2021,928
Indonesia,Aceh,30,Other natural disturbances,2021,560
Indonesia,Aceh,30,Permanent agriculture,2021,25661
Indonesia,Aceh,30,Settlements & Infrastructure,2021,62
Indonesia,Aceh,30,Shifting cultivation,2021,3536
Indonesia,Aceh,30,Wildfire,2021,78
Indonesia,Aceh,30,Hard commodities,2022,853
Indonesia,Aceh,30,Logging,2022,859
Indonesia,Aceh,30,Other natural disturbances,2022,555
Indonesia,Aceh,30,Permanent agriculture,2022,24581
Indonesia,Aceh,30,Settlements & Infrastructure,2022,77
Indonesia,Aceh,30,Shifting cultivation,2022,2655
Indonesia,Aceh,30,Wildfire,2022,146
Indonesia,Aceh,30,Hard commodities,2023,673
Indonesia,Aceh,30,Logging,2023,1343
Indonesia,Aceh,30,Other natural disturbances,2023,492
Indonesia,Aceh,30,Permanent agriculture,2023,33463
Indonesia,Aceh,30,Settlements & Infrastructure,2023,73
Indonesia,Aceh,30,Shifting cultivation,2023,2615
Indonesia,Aceh,30,Wildfire,2023,295
Indonesia,Aceh,30,Hard commodities,2024,772
Indonesia,Aceh,30,Logging,2024,2630
Indonesia,Aceh,30,Other natural disturbances,2024,560
Indonesia,Aceh,30,Permanent agriculture,2024,37381
Indonesia,Aceh,30,Settlements & Infrastructure,2024,86
Indonesia,Aceh,30,Shifting cultivation,2024,4017
Indonesia,Aceh,30,Wildfire,2024,566
Indonesia,Jawa Tengah,30,Hard commodities,2001,4
Indonesia,Jawa Tengah,30,Logging,2001,482
Indonesia,Jawa Tengah,30,Other natural disturbances,2001,33
Indonesia,Jawa Tengah,30,Permanent agriculture,2001,1742
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2001,128
Indonesia,Jawa Tengah,30,Shifting cultivation,2001,112
Indonesia,Jawa Tengah,30,Wildfire,2001,8
Indonesia,Jawa Tengah,30,Hard commodities,2002,1
Indonesia,Jawa Tengah,30,Logging,2002,261
Indonesia,Jawa Tengah,30,Other natural disturbances,2002,19
Indonesia,Jawa Tengah,30,Permanent agriculture,2002,1377
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2002,73
Indonesia,Jawa Tengah,30,Shifting cultivation,2002,65
Indonesia,Jawa Tengah,30,Wildfire,2002,7
Indonesia,Jawa Tengah,30,Hard commodities,2003,0
Indonesia,Jawa Tengah,30,Logging,2003,169
Indonesia,Jawa Tengah,30,Other natural disturbances,2003,37
Indonesia,Jawa Tengah,30,Permanent agriculture,2003,487
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2003,21
Indonesia,Jawa Tengah,30,Shifting cultivation,2003,39
Indonesia,Jawa Tengah,30,Wildfire,2003,1
Indonesia,Jawa Tengah,30,Hard commodities,2004,26
Indonesia,Jawa Tengah,30,Logging,2004,563
Indonesia,Jawa Tengah,30,Other natural disturbances,2004,61
Indonesia,Jawa Tengah,30,Permanent agriculture,2004,2585
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2004,118
Indonesia,Jawa Tengah,30,Shifting cultivation,2004,78
Indonesia,Jawa Tengah,30,Wildfire,2004,16
Indonesia,Jawa Tengah,30,Hard commodities,2005,14
Indonesia,Jawa Tengah,30,Logging,2005,141
Indonesia,Jawa Tengah,30,Other natural disturbances,2005,20
Indonesia,Jawa Tengah,30,Permanent agriculture,2005,1368
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2005,56
Indonesia,Jawa Tengah,30,Shifting cultivation,2005,37
Indonesia,Jawa Tengah,30,Wildfire,2005,0
Indonesia,Jawa Tengah,30,Hard commodities,2006,13
Indonesia,Jawa Tengah,30,Logging,2006,128
Indonesia,Jawa Tengah,30,Other natural disturbances,2006,34
Indonesia,Jawa Tengah,30,Permanent agriculture,2006,3013
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2006,120
Indonesia,Jawa Tengah,30,Shifting cultivation,2006,90
Indonesia,Jawa Tengah,30,Wildfire,2006,4
Indonesia,Jawa Tengah,30,Hard commodities,2007,7
Indonesia,Jawa Tengah,30,Logging,2007,157
Indonesia,Jawa Tengah,30,Other natural disturbances,2007,31
Indonesia,Jawa Tengah,30,Permanent agriculture,2007,2479
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2007,78
Indonesia,Jawa Tengah,30,Shifting cultivation,2007,58
Indonesia,Jawa Tengah,30,Wildfire,2007,8
Indonesia,Jawa Tengah,30,Hard commodities,2008,20
Indonesia,Jawa Tengah,30,Logging,2008,71
Indonesia,Jawa Tengah,30,Other natural disturbances,2008,16
Indonesia,Jawa Tengah,30,Permanent agriculture,2008,2330
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2008,85
Indonesia,Jawa Tengah,30,Shifting cultivation,2008,55
Indonesia,Jawa Tengah,30,Wildfire,2008,2
Indonesia,Jawa Tengah,30,Hard commodities,2009,15
Indonesia,Jawa Tengah,30,Logging,2009,111
Indonesia,Jawa Tengah,30,Other natural disturbances,2009,24
Indonesia,Jawa Tengah,30,Permanent agriculture,2009,2627
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2009,144
Indonesia,Jawa Tengah,30,Shifting cultivation,2009,42
Indonesia,Jawa Tengah,30,Wildfire,2009,1
Indonesia,Jawa Tengah,30,Hard commodities,2010,3
Indonesia,Jawa Tengah,30,Logging,2010,35
Indonesia,Jawa Tengah,30,Other natural disturbances,2010,23
Indonesia,Jawa Tengah,30,Permanent agriculture,2010,1102
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2010,72
Indonesia,Jawa Tengah,30,Shifting cultivation,2010,21
Indonesia,Jawa Tengah,30,Wildfire,2010,0
Indonesia,Jawa Tengah,30,Hard commodities,2011,19
Indonesia,Jawa Tengah,30,Logging,2011,169
Indonesia,Jawa Tengah,30,Other natural disturbances,2011,22
Indonesia,Jawa Tengah,30,Permanent agriculture,2011,3908
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2011,184
Indonesia,Jawa Tengah,30,Shifting cultivation,2011,49
Indonesia,Jawa Tengah,30,Wildfire,2011,8
Indonesia,Jawa Tengah,30,Hard commodities,2012,10
Indonesia,Jawa Tengah,30,Logging,2012,129
Indonesia,Jawa Tengah,30,Other natural disturbances,2012,18
Indonesia,Jawa Tengah,30,Permanent agriculture,2012,1956
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2012,163
Indonesia,Jawa Tengah,30,Shifting cultivation,2012,43
Indonesia,Jawa Tengah,30,Wildfire,2012,11
Indonesia,Jawa Tengah,30,Hard commodities,2013,10
Indonesia,Jawa Tengah,30,Logging,2013,75
Indonesia,Jawa Tengah,30,Other natural disturbances,2013,8
Indonesia,Jawa Tengah,30,Permanent agriculture,2013,960
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2013,84
Indonesia,Jawa Tengah,30,Shifting cultivation,2013,12
Indonesia,Jawa Tengah,30,Hard commodities,2014,14
Indonesia,Jawa Tengah,30,Logging,2014,95
Indonesia,Jawa Tengah,30,Other natural disturbances,2014,11
Indonesia,Jawa Tengah,30,Permanent agriculture,2014,2511
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2014,119
Indonesia,Jawa Tengah,30,Shifting cultivation,2014,74
Indonesia,Jawa Tengah,30,Hard commodities,2015,16
Indonesia,Jawa Tengah,30,Logging,2015,46
Indonesia,Jawa Tengah,30,Other natural disturbances,2015,4
Indonesia,Jawa Tengah,30,Permanent agriculture,2015,1583
Indonesia,Jawa Tengah,30,Settlements & Infrastructure,2015,104
Indonesia,Jawa Tengah,30,Shifting cultivation,2015,21
Indonesia,Jawa Tengah,30,Wildfire,2015,0
Indonesia,Jawa Tengah,30,Hard commodities,2016,35
Indonesia,Jawa Tengah,30,Logging,2016,117
Indonesia,Jawa Tengah,30,Other natural disturbances,2016,64
