Country,Province,Canopy Threshold %,Primary Forest Loss ha 2002,Primary Forest Loss ha 2003,Primary Forest Loss ha 2004,Primary Forest Loss ha 2005,Primary Forest Loss ha 2006,Primary Forest Loss ha 2007,Primary Forest Loss ha 2008,Primary Forest Loss ha 2009,Primary Forest Loss ha 2010,Primary Forest Loss ha 2011,Primary Forest Loss ha 2012,Primary Forest Loss ha 2013,Primary Forest Loss ha 2014,Primary Forest Loss ha 2015,Primary Forest Loss ha 2016,Primary Forest Loss ha 2017,Primary Forest Loss ha 2018,Primary Forest Loss ha 2019,Primary Forest Loss ha 2020,Primary Forest Loss ha 2021,Primary Forest Loss ha 2022,Primary Forest Loss ha 2023,Primary Forest Loss ha 2024
Indonesia,Aceh,30,4121,7082,6874,9781,9114,9733,19006,32710,16757,20050,21163,15562,22487,13700,17124,15583,15576,10181,8734,8616,9079,10916,12986
Indonesia,Bali,30,40,46,20,31,63,47,27,43,24,23,40,4,22,13,45,17,133,63,67,47,53,17,12
Indonesia,Bangka Belitung,30,910,638,3169,2389,4098,2688,2758,7820,2230,3635,5837,3024,5976,5986,8877,2901,2049,2125,2354,2650,2153,2904,2863
Indonesia,Banten,30,38,16,73,30,14,13,14,27,26,6,29,5,13,3,97,17,9,474,57,15,19,3,17
Indonesia,Bengkulu,30,3016,3251,7456,3847,4537,5022,5016,5591,3423,7083,7764,3803,5086,5879,7137,7906,6354,4073,3539,3280,6207,4389,5394
Indonesia,Gorontalo,30,2773,1505,2539,2110,2099,1766,656,3087,473,1011,1969,4269,6288,6553,5445,2621,2939,2864,1329,639,799,2528,2666
Indonesia,Jambi,30,10827,8128,30965,28425,36283,34949,38114,41450,13223,19651,62431,31367,29506,21687,66592,18780,12760,13816,24082,10787,10977,9815,10123
Indonesia,Jawa Barat,30,119,206,118,55,95,114,98,65,91,43,68,87,192,63,322,138,32,45,128,38,45,27,59
Indonesia,Jawa Tengah,30,17,21,43,16,16,19,10,14,14,31,15,11,24,6,38,71,15,16,34,75,20,5,27
Indonesia,Jawa Timur,30,485,681,895,376,869,556,601,462,202,687,1337,156,587,161,474,158,185,438,980,149,110,188,227
Indonesia,Kalimantan Barat,30,21082,18110,36096,37185,50951,56483,71171,110678,63503,109851,133695,90847,113210,108536,81070,42875,32774,35670,31996,21125,30024,41215,30786
Indonesia,Kalimantan Selatan,30,2289,2286,5610,3129,5030,2885,1198,6110,2613,4821,6798,2710,4253,7477,11824,5175,4373,4121,2599,2112,1210,4100,2220
Indonesia,Kalimantan Tengah,30,37900,81471,61158,65150,74463,170329,89895,86839,75387,58196,97469,44113,78307,92206,292043,45770,44769,45283,47610,24856,31628,44072,42381
Indonesia,Kepulauan Riau,30,1261,695,2421,3294,3074,913,5587,2638,1829,3381,4600,2337,9348,2158,5691,3025,2000,3338,3431,1406,1047,1003,677
Indonesia,Lampung,30,1092,756,1400,968,1050,625,1418,1255,637,441,988,231,727,920,1716,945,525,657,534,257,447,116,198
Indonesia,Maluku Utara,30,13243,7881,7725,4324,10012,3451,3146,7395,3859,3229,4766,4013,10778,27541,19981,6218,6557,7411,4523,3574,4013,6090,4069
Indonesia,Maluku,30,6115,2137,3396,2453,6144,2158,1178,5565,2338,4033,5271,2413,5400,26656,17192,4204,5892,7790,2688,1995,2802,3976,2144
Indonesia,Nusa Tenggara Barat,30,568,380,1005,500,463,387,239,230,248,231,658,135,460,469,469,481,504,1269,1925,702,675,1050,980
Indonesia,Nusa Tenggara Timur,30,233,319,304,498,515,292,202,278,89,177,292,40,130,102,129,178,122,159,307,327,298,196,345
Indonesia,Papua Barat,30,9028,5714,9506,5065,7160,4837,5531,10935,8581,8703,9933,5860,12831,30881,18551,10774,14570,11702,10756,8722,9926,12265,9409
Indonesia,Papua,30,10622,7486,11606,8876,13687,14449,9967,13383,16029,17581,35677,30609,44331,50976,51360,33361,23009,22672,17762,16636,17182,12860,13637
Indonesia,Riau,30,63396,29285,148164,193702,108375,109488,104176,146644,219492,179329,225316,97324,175532,39108,50231,29948,23919,24424,18796,19572,23464,29068,27461
Indonesia,Sulawesi Barat,30,5324,3914,7634,5098,6148,2284,5178,4938,2985,4178,5052,3061,3982,4334,4081,3124,2990,2394,1968,3590,2883,4147,3858
Indonesia,Sulawesi Selatan,30,4059,2484,5442,2957,3759,2770,962,3893,1643,3011,4836,2689,7787,13983,16786,7769,4056,3421,3565,2426,2705,3398,2721
Indonesia,Sulawesi Tengah,30,18183,12574,21051,10608,16007,10435,8905,23520,10755,12058,20568,16215,20927,54504,46286,14747,15612,17218,10684,9461,10219,15570,13184
Indonesia,Sulawesi Tenggara,30,5282,6754,20750,7846,17011,5705,3827,11015,4124,7143,8523,5959,12064,17009,21069,11157,8245,14243,8339,5280,5792,8514,6021
Indonesia,Sulawesi Utara,30,3520,2032,3593,1891,2190,1924,646,2174,724,1005,731,673,2356,8126,4408,2194,2051,1616,1004,566,520,566,798
Indonesia,Sumatera Barat,30,7308,5435,12792,15769,15713,14835,17161,17919,10600,21443,21266,11953,14566,10993,16964,22252,16123,11748,7929,11014,13836,11981,10785
Indonesia,Sumatera Selatan,30,2234,1432,3287,4012,5595,12989,9315,14204,9024,11861,27990,8548,11717,15910,57413,5835,6382,5300,7236,3251,2397,2857,3802
Indonesia,Sumatera Utara,30,8344,10728,18000,23985,19576,13364,22655,41395,24314,36743,27710,16032,27973,13723,13619,15929,8410,7080,6278,7865,8273,9487,8094
Indonesia,Kalimantan Timur,30,13550,12585,19152,17270,26441,22109,14961,41585,23589,41959,65325,43098,63040,50695,64549,34892,49788,40460,21457,17405,17357,30106,26337
Indonesia,Kalimantan Utara,30,14748,12388,26893,16748,17811,18357,25770,39946,22132,32296,47402,25829,46881,36261,27061,24194,27148,21557,17350,14451,13827,18929,14515
